Column,Example
explanation,"When you operate someone else's station, both you and the station owner are responsible for lawful operation. Memory Trick: ""Guest operator = shared responsibility."""
BankQuestionID,B-001-009-002
,
question,What is your responsibility as a station owner?
optionA,"You must notify Innovation, Science and Economic Development Canada if another amateur radio operator acts as the control operator"
optionB,You are responsible for the operation of the station in accordance with the regulations
optionC,You must allow another amateur radio operator to operate your station upon request
optionD,You must be present whenever the station is operated
correctOption,B
explanation,"As the station owner, you are responsible for ensuring the station complies with all regulations, regardless of who is operating it. Memory Trick: ""If it's your station, it's your responsibility."""
BankQuestionID,B-001-009-003
,
question,Who may be the control operator of an amateur radio station?
optionA,Any person over 21 years of age with Basic and Morse code qualifications
optionB,Any person over 21 years of age
optionC,Any qualified amateur radio operator chosen by the station owner
optionD,Any person over 21 years of age with a Basic Qualification
correctOption,C
explanation,"The control operator must be a qualified amateur chosen by the station owner; age by itself is not a deciding factor. Memory Trick: ""Qualified + chosen by owner = control operator."""
BankQuestionID,B-001-009-004
,
question,When must an amateur radio station have a control operator?
optionA,A control operator is not needed
optionB,Whenever the station receiver is operated
optionC,Only when training another amateur radio operator
optionD,Whenever the station is transmitting
correctOption,D
explanation,"A control operator is required whenever the station is transmitting, to ensure rules are followed. Memory Trick: ""If RF is going out, control must be in."""
BankQuestionID,B-001-009-005
,
question,"When an amateur radio station is transmitting, where must its control operator be?"
optionA,At the station's control point
optionB,Anywhere in the same building as the transmitter
optionC,"At the station's entrance, to control entry to the room"
optionD,Anywhere within 50 km of the station location
correctOption,A
explanation,"The control operator must be at the station's control point so they can immediately control the transmitter. Memory Trick: ""Control operator at the control point."""
BankQuestionID,B-001-009-006
,
question,Why can't family members without qualifications transmit using your amateur radio station if they are alone with your equipment?
optionA,They must first know the right frequencies and emission modes for transmitting
optionB,They must hold suitable amateur radio qualifications before they are allowed to be control operators
optionC,They must not use your equipment without your permission
optionD,They must first know how to use the right abbreviations and Q signals
correctOption,B
explanation,"Only qualified persons may act as control operators, so unqualified family members cannot transmit on their own. Memory Trick: ""No ticket, no transmit."""
BankQuestionID,B-001-009-007
,
question,The owner of an amateur radio station may:
optionA,permit anyone to use the station without restrictions
optionB,permit anyone to use the station and take part in communications
optionC,permit any person to operate the station under the supervision and in the presence of the holder of an Amateur Radio Operator Certificate
optionD,"permit anyone to take part in communications only if prior written permission is received from Innovation, Science and Economic Development Canada"
correctOption,C
explanation,"Non-licensed persons may operate only under direct supervision and in the presence of a qualified operator. Memory Trick: ""Visitors OK, but only with you there."""
BankQuestionID,B-001-009-008
,
question,Under what circumstances can a person who does NOT have an Amateur Radio Operator Certificate operate an amateur radio station?
optionA,When the person has been briefed over the telephone by a person holding appropriate qualifications
optionB,When the person is actively enrolled in an amateur radio course
optionC,When the person holds a valid licence in the land mobile or maritime services
optionD,"When the person is under supervision, and in the presence of, a person holding appropriate qualifications"
correctOption,D
explanation,"A non-qualified person may operate only when supervised and in the physical presence of a qualified amateur. Memory Trick: ""No certificate? Then stay supervised and stay nearby."""
BankQuestionID,B-001-009-009
,
question,What is a transmission that disturbs other communications called?
optionA,Harmful interference
optionB,Interrupted CW
optionC,Transponder signals
optionD,Unidentified transmissions
correctOption,A
explanation,"A transmission that disturbs or disrupts other communications is called harmful interference. Memory Trick: ""If it harms another QSO, it's harmful interference."""
BankQuestionID,B-001-010-001
,
question,When may you deliberately interfere with another amateur radio station's communications?
optionA,Only when you are operating within crowded band conditions
optionB,Deliberate interference is never acceptable
optionC,Only if the station is operating illegally
optionD,Only if the station begins transmitting on a frequency you are using
correctOption,B
explanation,"Deliberate interference is never allowed, regardless of the other station's behaviour. Memory Trick: ""No jamming, ever."""
BankQuestionID,B-001-010-002
,
question,"If the regulations say that the amateur radio service is a secondary user of a frequency band, and another service is a primary user, what does this mean?"
optionA,Amateur radio operators are only allowed to use the frequency band during emergencies
optionB,Amateur radio operators can only use the band briefly for radio testing and adjustment purposes
optionC,Amateur radio operators are allowed to use the frequency band only if they do not cause interference to primary users
optionD,Nothing special: all users of a frequency band have equal rights to operate
correctOption,C
explanation,"As a secondary user, amateurs may use the band only as long as they do not cause interference to primary users, and they must accept interference from them. Memory Trick: ""Primary first; secondary must not disturb."""
